indicator_data year,ISO Country code_,surface area (Km2)_,population_2017,population_2018,population_2019,population_2020,population_2021,,GINI index_varies by country,happy planet index_2016,happy planet index_2017,happy planet index_2018,happy planet index_2019,happy planet index_2020,human development index_2017,human development index_2018,human development index_2019,human development index_2020,human development index_2021,sustainable economic development assessment (SEDA)_2018,,GDP growth(annual %)_2017,GDP growth(annual %)_2018,GDP growth(annual %)_2019,GDP growth(annual %)_2020,GDP growth(annual %)_2021,GDP ($ USD billions PPP)_2018,GDP ($ USD billions PPP)_2019,GDP ($ USD billions PPP)_2020,GDP ($ USD billions PPP)_2021,GDP per capita in $ (PPP)_2018,GDP per capita in $ (PPP)_2019,GDP per capita in $ (PPP)_2020,GDP per capita in $ (PPP)_2021,Economic Growth_2018,Economic Growth_2021,,health expenditure % of GDP_2014,health expenditure % of GDP_2015,health expenditure % of GDP_2016,health expenditure % of GDP_2017,health expenditure % of GDP_2018,health expenditure % of GDP_2019,health expenditure % of GDP_2020,health expenditure % of GDP_2021,health expenditure per person_2015,health expenditure per person_2018,health expenditure per person_2019,infant mortality_2020,"maternal mortality per 100,000 live births_2017",,education expenditure% of GDP_2014,education expenditure% of GDP_2018,education expenditure% of GDP_2021,Education as % of GDP_2018,Education as % of GDP_2021,% of primary school aged kids out of school_2018,% of primary school aged kids out of school_2021,,unemployment (%)_2017,unemployment (%)_2018,unemployment (%)_2019,unemployment (%)_2020,unemployment (%)_2021,% of population in extreme poverty_2021,% of population with access to electricity_2020,,political rights score_2018,political rights score_2022,civil liberties score_2018,civil liberties score_2022,political stability and absence of violence_2017,political stability and absence of violence_2021,government effectiveness_2017,government effectiveness_2021,regulatory quality_2017,regulatory quality_2021,rule of law_2017,rule of law_2021,control of corruption_2017,control of corruption_2021,judicial effectiveness score_2018,judicial effectiveness score_2022,government integrity score_2018,government integrity score_2022,overall economic freedom score_2017,overall economic freedom score_2022,financial freedom score_2018,financial freedom score_2022,government expenditure (% of GDP)_2018,,CO2e emissions per capita_2015,CO2e emissions per capita_2016,CO2e emissions per capita_2017,CO2e emissions per capita_2018,CO2e emissions per capita_2019,share of electricity from renewables generation_2015,,% of seats held by women in national parliaments_2017,% of seats held by women in national parliaments_2018,% of seats held by women in national parliaments_2019,% of seats held by women in national parliaments_2020,% of seats held by women in national parliaments_2021,Military Spending as % of GDP_2017,Military Spending as % of GDP_2018,Military Spending as % of GDP_2019,Military Spending as % of GDP_2020,Military Spending as % of GDP_2021
indicator,ISO Country code,surface area (Km2),population,population,population,population,population,,GINI index,happy planet index,happy planet index,happy planet index,happy planet index,happy planet index,human development index,human development index,human development index,human development index,human development index,sustainable economic development assessment (SEDA),,GDP growth(annual %),GDP growth(annual %),GDP growth(annual %),GDP growth(annual %),GDP growth(annual %),GDP ($ USD billions PPP),GDP ($ USD billions PPP),GDP ($ USD billions PPP),GDP ($ USD billions PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),Economic Growth,Economic Growth,,health expenditure % of GDP,health expenditure % of GDP,health expenditure % of GDP,health expenditure % of GDP,health expenditure % of GDP,health expenditure % of GDP,health expenditure % of GDP,health expenditure % of GDP,health expenditure per person,health expenditure per person,health expenditure per person,infant mortality,"maternal mortality per 100,000 live births",,education expenditure% of GDP,education expenditure% of GDP,education expenditure% of GDP,Education as % of GDP,Education as % of GDP,% of primary school aged kids out of school,% of primary school aged kids out of school,,unemployment (%),unemployment (%),unemployment (%),unemployment (%),unemployment (%),% of population in extreme poverty,% of population with access to electricity,,political rights score ,political rights score ,civil liberties score ,civil liberties score ,political stability and absence of violence,political stability and absence of violence,government effectiveness,government effectiveness,regulatory quality,regulatory quality,rule of law,rule of law,control of corruption,control of corruption,judicial effectiveness score,judicial effectiveness score,government integrity score,government integrity score,overall economic freedom score,overall economic freedom score,financial freedom score,financial freedom score,government expenditure (% of GDP),,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,share of electricity from renewables generation,,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP
source,FAO,CIA World Factbook,,,,,,,CIA World Factbook,Happy Planet Index,,,,,UNDP,,,,,Boston Consulting Group (BCG),,,,,World Bank,,World Bank,,,,World Bank,,,,WorldBank,WorldBank,,World Bank,,,,,,,,World Bank,World Bank,,WorldBank,Worldbank,,World Bank,World Bank,World Bank,WorldBank,WorldBank,WorldBank,WorldBank,,,Heritage Foundation,,,World Bank,WorldBank,WorldBank,,Freedom House,,Freedom House,,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,,,,,,WorldBank,EIA,,World Bank,WorldBank,,,WorldBank,,,SIPRI,SIPRI,
URL,http://www.fao.org/countryprofiles/iso3list/en/,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html#al,,,,,,,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2172rank.html,http://happyplanetindex.org/,,,https://happyplanetindex.org/,,http://hdr.undp.org/en/data#,,,,https://hdr.undp.org/data-center/human-development-index#/indicies/HDI,https://www.bcg.com/en-gb/publications/interactives/seda-2018-guide.aspx,,,,,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,,,,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD,,,,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,,https://data.worldbank.org/indicator/SH.XPD.CHEX.GD.ZS,,,,,,,,https://data.worldbank.org/indicator/SH.XPD.CHEX.PP.CD,https://data.worldbank.org/indicator/SH.XPD.CHEX.PC.CD,,https://data.worldbank.org/indicator/SP.DYN.IMRT.IN,https://data.worldbank.org/indicator/SH.STA.MMRT,,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS?view=chart,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.PRM.UNER.ZS,https://data.worldbank.org/indicator/SE.PRM.UNER.ZS,,,https://www.heritage.org/index/explore,,,https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS,https://data.worldbank.org/topic/poverty,https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS,,https://freedomhouse.org/reports/publication-archives,https://freedomhouse.org/countries/freedom-world/scores,https://freedomhouse.org/reports/publication-archives,https://freedomhouse.org/countries/freedom-world/scores,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,,,,,,https://data.worldbank.org/indicator/EN.ATM.CO2E.PC,https://www.eia.gov/international/data/world/electricity/electricity-generation?pd=2andp=0000000000000000000000000000098andu=1andf=Aandv=columnanda=-andi=noneandvo=valueandt=Candg=00000000000000000000000000000000000000000000000001andl=249-ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvvvsands=1420070400000ande=1577836800000andvb=146andev=false,,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS,,,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS,,,https://milex.sipri.org/sipri,,
notes,,,,,,,,,inequality in the distribution of family income. Lower the better.,well being + life expectancy + inequalities + ecological footprint  (higher = better),,,,,healthy life + knowledge + standard of living  (high = better),,,,,"an assessment based on 40 indicators in sustainability, economics, and investments(higher = better)",,,,,,,,,,,,,,,,,,,,,,,,,,(current international $),,,,,,,,,,,,,,,,,,,,,,,,,,Likelihood of political instability ,Likelihood of political instability ,"Quality of public services, civil service, policy formation, government commitment (-2.5 to +2.5)","Quality of public services, civil service, policy formation, government commitment (-2.5 to +2.5)",level of policies to support private sector,level of policies to support private sector,quality of rule of law + likelihood of crime / violence,quality of rule of law + likelihood of crime / violence,,,"judicial independence + quality of the judicial process,fairness(/100)","judicial independence + quality of the judicial process,fairness(/100)",Public trust + transparency + corruption ,Public trust + transparency + corruption ,,,"Level of gov regulation of financial services, foreign competition, credit and capital development ","Level of gov regulation of financial services, foreign competition, credit and capital development ",,,,,,,,,,,,,,,,,,,
data year,,,2017,2018,2019,2020,2021,,2021,2016,2017,2018,2019,2020,2017,2018,2019,2020,2021,2018,,2017,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2021,,2014,2015,2016,2017,2018,2019,2020,2021,2015,2018,2019,2020,2017,,2014,2018,2021,2018,2021,2018,2021,,2017,2018,2019,2020,2021,2021,2020,,2018,2022,2018,2022,2017,2021,2017,2021,2017,2021,2017,2021,2017,2021,2018,2022,2018,2022,2017,2022,2018,2022,2018,,2015,2016,2017,2018,2019,2015,,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021
Afghanistan,AFG,652230,35643418,36686784,37769499,38972230,40099462,,-,20.2,31.5,31.5,29.4,-,0.498,0.483,0.488,0.483,0.478,-,,2.647003202,1.5,3.911603419,-2.351100673,-20.7371456,75.60041811,78.55760665,76.71063823,60.8,2082.392197,2152.190243,2078.479082,1665.8,1.189228128,-2.35,,3.695219994,3.255800009,3.511980057,3.373310089,3.199790001,3.213779926,-,3.21,184,69.99860382,65.80603027,60.77764289,638,,3.78,3.199790001,-,3.199790001,3.213779926,-,-,,11.18,8.5,11.22,11.71,13.28299999,-,97.69999695,,12,1,14,9,-2.78,-2.529855251,-1.33,-1.634369612,-1.34,-1.338022232,-1.57,-1.871436119,-1.52,-1.1423769,28.2,-,26.2,-,51.3,-,10,-,26.3,,0.18,0.15,0.13,0.17,0.159824372,0.861,,27.7,-,28,27,27.01612903,191.4,198.1,225.8,279.6,278.3
Albania,ALB,27398,2873457,2866376,2854191,2837849,2811666,,29,36.8,47.9,50.8,51,54.3,0.785,0.806,0.81,0.794,0.796,53.1,,3.8022274,2.6,2.088063376,8.544083251,8.515501123,38.1717938,38.96884504,37.6120939,40.82570251,13498.13817,13999.42397,13632.18654,15646.04152,4.019359685,8.544083251,,3.049999952,3.437969923,3.962090015,3.611730099,-,3.916650057,3.099999905,3.92,774,274.914093,-,2.4,15,,-,-,3.099999905,-,3.1,2.557790041,3.841929913,,13.62,16.3,11.47,13.33,11.81900024,-,100,,28,28,40,39,0.4,0.109445848,0.08,-0.003363639,0.22,0.192754015,-0.4,-0.256100863,-0.42,-0.555924177,25.4,49.8,39.9,35.6,64.5,66.6,70,70,30.1,,1.6,1.56,1.79,1.78,1.69224832,1,,27.9,27.85714286,30,29.5,35.71428571,144.4,175.9,200.1,187.4,236.4
Algeria,DZA,2381740,41136546,41927007,42705368,43451666,44177969,,35.3,33.3,49.5,48.2,46.5,-,0.754,0.745,0.748,0.736,0.745,45.8,,1.3,3.7,1,3.84779349,3.5,491.1451568,496.0566084,470.7577213,488.8715063,11908.53761,12008.26483,11323.31222,12037.48124,1.1,3.84779349,,-,-,7.344359875,6.505380154,5.866350174,6.100359917,-,6.1,1031,256.0094605,248.2058716,11.55134986,112,,-,5.866350174,6.100359917,5.866350174,6.100359917,0.352499992,0.177000001,,10.33,11.2,10.51,12.55,12.70400047,-,99.80413055,,10,10,25,22,-0.96,-0.876465023,-0.6,-0.620759845,-1.2,-1.17087245,-0.86,-0.816039979,-0.61,-0.614184439,35.2,29.7,29,30.1,44.7,45.8,30,30,42.5,,3.95,3.84,3.85,3.95,3.977650459,0.003,,25.8,25.75757576,26,25.8,8.108108108,10073.4,9583.7,10303.6,9708.3,9112.5
Angola,AGO,1246700,30208628,31273533,32353588,33428486,34503774,,42.7,-,-,-,-,-,0.581,0.595,0.595,0.59,0.586,28.4,,-0.15,3,-0.7,0.700000005,1.1,215.1179202,213.6120948,201.8634296,203.2764736,7148.933253,6995.299736,6478.332182,6581.042021,-1.316312102,0.700000005,,3.122917652,3.4868958,2.754936457,2.466878891,2.044701338,1.927457333,2.415200233,2.42,196,87.31073761,71.32600403,8.8,241,,-,2.044701338,2.415200233,2.044701338,2.415200233,-,-,,7.41,6.6,7.42,8.33,8.529999733,11.9,46.89060974,,10,10,16,20,-0.29,-0.710836232,-1.03,-1.059368968,-1.04,-0.662632108,-1.1,-0.952415645,-1.41,-0.655345798,25.4,25.3,18.9,20.6,48.6,52.6,40,40,32.1,,1.13,1.02,0.8,0.77,0.792137069,0.545,,38.2,30.45454545,30,30,29.54545455,3062.9,1983.6,1470.9,993.6,981.5
Argentina,ARG,2736690,44044811,44494502,44938712,45376763,45808747,,41.7,35.2,49.2,47.8,50,48.4,0.825,0.85,0.852,0.84,0.842,57.3,,2.818502978,1.2,-2.000861,10.26376093,10.39824946,1012.127189,991.6221582,893.4984785,985.2050263,23290.67574,22997.39176,20769.03238,23627.39429,-2.617396463,10.26376093,,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.724170208,-,4.72,1390,1127.928467,945.9919434,9.7,39,,5.361440182,4.877739906,4.724170208,4.877739906,4.72,0.403450012,0.422470003,,8.35,6.6,9.84,11.46,10.90200043,0.3,100,,33,35,50,49,0.18,-0.106366642,0.16,-0.356661767,-0.29,-0.618144751,-0.25,-0.462304175,-0.26,-0.400777549,44.5,57.9,32.6,45.1,52.3,50.1,60,60,38.5,,4.3,4.2,4.07,3.98,3.740650291,0.307,,38.9,38.91050584,40,40.9,44.74708171,5459.6,3842.9,3132.7,2830.9,2591.6
