indicator,ISO Country code,population,population,population,population,population,surface area (Km2),,GINI index,happy planet index,happy planet index,happy planet index,happy planet index,happy planet index,human development index,human development index,human development index,human development index,human development index,sustainable economic development assessment (SEDA),,"GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),Economic Growth,,,"health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
per person","health expenditure 
per person","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births",,"education expenditure
% of GDP","education expenditure
% of GDP","education expenditure
% of GDP",Education as % of GDP,Education as % of GDP,% of primary school aged kids out of school,% of primary school aged kids out of school,,unemployment (%),unemployment (%),unemployment (%),unemployment (%),unemployment (%),% of population in extreme poverty,% of population with access to electricity,,political rights score ,,civil liberties score ,,political stability & absence of violence,,government effectiveness,,regulatory quality,,rule of law,,control of corruption,,judicial effectiveness score,,government integrity score,,overall economic freedom score,,financial freedom score,,government expenditure (% of GDP),,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,share of electricity from renewables generation,,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP
source,FAO,,,,,,CIA World Factbook,,CIA World Factbook,Happy Planet Index,,,,,UNDP,,,,,Boston Consulting Group (BCG),,,,,World Bank,,World Bank,,,,World Bank,,,,WorldBank,WorldBank,,World Bank,,,,,,,,World Bank,World Bank,,WorldBank,Worldbank,,World Bank,World Bank,World Bank,WorldBank,WorldBank,WorldBank,WorldBank,,,Heritage Foundation,,,World Bank,WorldBank,WorldBank,,Freedom House,,Freedom House,,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,Heritage Foundation,,,,,,WorldBank,EIA,,World Bank,WorldBank,,,WorldBank,,,SIPRI,SIPRI,
URL,http://www.fao.org/countryprofiles/iso3list/en/,,,,,,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html#al,,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2172rank.html,http://happyplanetindex.org/,,,https://happyplanetindex.org/,,http://hdr.undp.org/en/data#,,,,https://hdr.undp.org/data-center/human-development-index#/indicies/HDI,https://www.bcg.com/en-gb/publications/interactives/seda-2018-guide.aspx,,,,,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,,,,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD,,,,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,,https://data.worldbank.org/indicator/SH.XPD.CHEX.GD.ZS,,,,,,,,https://data.worldbank.org/indicator/SH.XPD.CHEX.PP.CD,https://data.worldbank.org/indicator/SH.XPD.CHEX.PC.CD,,https://data.worldbank.org/indicator/SP.DYN.IMRT.IN,https://data.worldbank.org/indicator/SH.STA.MMRT,,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS?view=chart,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,https://data.worldbank.org/indicator/SE.PRM.UNER.ZS,https://data.worldbank.org/indicator/SE.PRM.UNER.ZS,,,https://www.heritage.org/index/explore,,,https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS,https://data.worldbank.org/topic/poverty,https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS,,https://freedomhouse.org/reports/publication-archives,https://freedomhouse.org/countries/freedom-world/scores,https://freedomhouse.org/reports/publication-archives,https://freedomhouse.org/countries/freedom-world/scores,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,http://info.worldbank.org/governance/wgi/#home,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,https://www.heritage.org/index/explore,,,,,,https://data.worldbank.org/indicator/EN.ATM.CO2E.PC,https://www.eia.gov/international/data/world/electricity/electricity-generation?pd=2&p=0000000000000000000000000000098&u=1&f=A&v=column&a=-&i=none&vo=value&t=C&g=00000000000000000000000000000000000000000000000001&l=249-ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvvvs&s=1420070400000&e=1577836800000&vb=146&ev=false,,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS,,,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS,,,https://milex.sipri.org/sipri,,
notes,,,,,,,,,inequality in the distribution of family income. Lower the better.,"well being + life expectancy + inequalities + ecological footprint  
(higher = better)",,,,,"healthy life + knowledge + standard of living  
(high = better)",,,,,"an assessment based on 40 indicators in sustainability, economics, & investments
(higher = better)",,,,,,,,,,,,,,,,,,,,,,,,,,(current international $),,,,,,,,,,,,,,,,,,,,,,,,,,Likelihood of political instability ,Likelihood of political instability ,"Quality of public services, civil service, policy formation, government commitment (-2.5 to +2.5)","Quality of public services, civil service, policy formation, government commitment (-2.5 to +2.5)",level of policies to support private sector,level of policies to support private sector,quality of rule of law + likelihood of crime / violence,quality of rule of law + likelihood of crime / violence,,,"judicial independence + quality of the judicial process,
fairness
(/100)","judicial independence + quality of the judicial process,
fairness
(/100)",Public trust + transparency + corruption ,Public trust + transparency + corruption ,,,"Level of gov regulation of financial services, foreign competition, credit & capital development ","Level of gov regulation of financial services, foreign competition, credit & capital development ",,,,,,,,,,,,,,,,,,,
data year,2018,2017,2018,2019,2020,2021,2018,,varies by country,2016,2017,2018,2019,2020,2017,2018,2019,2020,2021,2018,,2017,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2021,,2014,2015,2016,2017,2018,2019,2020,2021,2015,2018,2019,2020,2017,,2014,2018,2021,2018,2021,2018,2021,,2017,2018,2019,2020,2021,2021,2020,,2018,2022,2018,2022,2017,2021,2017,2021,2017,2021,2017,2021,2017,2021,2018,2022,2018,2022,2017,2022,2018,2022,2018,,2015,2016,2017,2018,2019,2015,,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021
Afghanistan,AFG,"35,643,418","36,686,784","37,769,499","38,972,230","40,099,462","652,230",,-,20.20,31.50,31.50,29.40,-,0.50,0.48,0.49,0.48,0.48,-,,2.65,1.50,3.91,-2.35,-20.74,75.6,78.6,76.7,60.8,2082.39,2152.19,2078.48,1665.80,1.19,-2.35,,3.70,3.26,3.51,3.37,3.20,3.21,-,3.21,184,70.0,65.8,60.8,638,,3.78,3.20,-,3.20,3.21,-,-,,11.18,8.50,11.22,11.71,13.28,-,97.70,,12.00,1.00,14.00,9.00,-2.78,-2.53,-1.33,-1.63,-1.34,-1.34,-1.57,-1.87,-1.52,-1.14,28.20,-,26.20,-,51.30,-,10.00,-,26.30,,0.18,0.15,0.13,0.17,0.16,0.86,,27.70,-,28.00,27.00,27.02,191.40,198.10,225.80,279.60,278.30
Albania,ALB,"2,873,457","2,866,376","2,854,191","2,837,849","2,811,666","27,398",,29.00,36.80,47.90,50.80,51.00,54.30,0.79,0.81,0.81,0.79,0.80,53.10,,3.80,2.60,2.09,8.54,8.52,38.2,39.0,37.6,40.8,13498.14,13999.42,13632.19,15646.04,4.02,8.54,,3.05,3.44,3.96,3.61,-,3.92,3.10,3.92,774,274.9,-,2.4,15,,-,-,3.10,-,3.10,2.56,3.84,,13.62,16.30,11.47,13.33,11.82,-,100.00,,28.00,28.00,40.00,39.00,0.40,0.11,0.08,0.00,0.22,0.19,-0.40,-0.26,-0.42,-0.56,25.40,49.80,39.90,35.60,64.50,66.60,70.00,70.00,30.10,,1.60,1.56,1.79,1.78,1.69,1.00,,27.90,27.86,30.00,29.50,35.71,144.40,175.90,200.10,187.40,236.40
Algeria,DZA,"41,136,546","41,927,007","42,705,368","43,451,666","44,177,969","2,381,740",,35.30,33.30,49.50,48.20,46.50,-,0.75,0.75,0.75,0.74,0.75,45.80,,1.30,3.70,1.00,3.85,3.50,491.1,496.1,470.8,488.9,11908.54,12008.26,11323.31,12037.48,1.10,3.85,,-,-,7.34,6.51,5.87,6.10,-,6.10,"1,031",256.0,248.2,11.6,112,,-,5.87,6.10,5.87,6.10,0.35,0.18,,10.33,11.20,10.51,12.55,12.70,-,99.80,,10.00,10.00,25.00,22.00,-0.96,-0.88,-0.60,-0.62,-1.20,-1.17,-0.86,-0.82,-0.61,-0.61,35.20,29.70,29.00,30.10,44.70,45.80,30.00,30.00,42.50,,3.95,3.84,3.85,3.95,3.98,0.00,,25.80,25.76,26.00,25.80,8.11,10073.40,9583.70,10303.60,9708.30,9112.50
Angola,AGO,"30,208,628","31,273,533","32,353,588","33,428,486","34,503,774","1,246,700",,42.70,-,-,-,-,-,0.58,0.60,0.60,0.59,0.59,28.40,,-0.15,3.00,-0.70,0.70,1.10,215.1,213.6,201.9,203.3,7148.93,6995.30,6478.33,6581.04,-1.32,0.70,,3.12,3.49,2.75,2.47,2.04,1.93,2.42,2.42,196,87.3,71.3,8.8,241,,-,2.04,2.42,2.04,2.42,-,-,,7.41,6.60,7.42,8.33,8.53,11.90,46.89,,10.00,10.00,16.00,20.00,-0.29,-0.71,-1.03,-1.06,-1.04,-0.66,-1.10,-0.95,-1.41,-0.66,25.40,25.30,18.90,20.60,48.60,52.60,40.00,40.00,32.10,,1.13,1.02,0.80,0.77,0.79,0.55,,38.20,30.45,30.00,30.00,29.55,3062.90,1983.60,1470.90,993.60,981.50
Argentina,ARG,"44,044,811","44,494,502","44,938,712","45,376,763","45,808,747","2,736,690",,41.70,35.20,49.20,47.80,50.00,48.40,0.83,0.85,0.85,0.84,0.84,57.30,,2.82,1.20,-2.00,10.26,10.40,"1,012.1",991.6,893.5,985.2,23290.68,22997.39,20769.03,23627.39,-2.62,10.26,,5.36,5.78,5.55,5.45,4.88,4.72,-,4.72,"1,390",1127.9,946.0,9.7,39,,5.36,4.88,4.72,4.88,4.72,0.40,0.42,,8.35,6.60,9.84,11.46,10.90,0.30,100.00,,33.00,35.00,50.00,49.00,0.18,-0.11,0.16,-0.36,-0.29,-0.62,-0.25,-0.46,-0.26,-0.40,44.50,57.90,32.60,45.10,52.30,50.10,60.00,60.00,38.50,,4.30,4.20,4.07,3.98,3.74,0.31,,38.90,38.91,40.00,40.90,44.75,5459.60,3842.90,3132.70,2830.90,2591.60
Armenia,ARM,"2,851,923","2,836,557","2,820,602","2,805,608","2,790,974","28,203",,31.50,25.70,44.40,50.40,54.70,-,0.76,0.77,0.78,0.76,0.76,51.70,,7.50,3.00,7.60,5.70,5.70,37.5,40.4,37.4,39.5,13018.87,14230.01,13311.03,14630.24,5.20,5.70,,2.25,2.81,2.76,2.71,2.26,2.56,2.71,2.71,883,422.3,524.0,-,26,,2.25,2.26,2.71,2.26,2.71,6.91,10.48,,17.70,16.80,18.30,21.21,20.90,0.10,100.00,,15.00,23.00,30.00,32.00,-0.71,-0.84,-0.10,-0.25,0.28,0.15,-0.16,-0.10,-0.56,0.07,47.40,33.10,40.50,50.80,68.70,65.30,70.00,70.00,25.80,,1.86,1.77,1.88,2.01,2.09,0.30,,18.10,18.10,23.00,23.50,33.64,443.60,513.30,652.00,634.00,619.40
